ACCIONA,192.700,-1.93,-3.80,14.63,195.800,192.700,11063,10571,09:16,2022-04-20 09:30:19.001724
ACERINOX,9.976,0.50,0.05,-12.38,10.020,9.930,66525,2699,09:16,2022-04-20 09:30:19.001724
ACS,24.880,0.57,0.14,7.66,24.910,24.810,23739,7331,09:15,2022-04-20 09:30:19.001724
AENA,149.300,-0.57,-0.85,7.56,150.500,148.950,5076,22395,09:15,2022-04-20 09:30:19.001724
ALMIRALL,12.240,-0.89,-0.11,8.32,12.330,12.230,14781,2200,09:10,2022-04-20 09:30:19.001724
AMADEUS IT GROUP,57.080,0.42,0.24,-4.29,57.220,56.560,19912,25714,09:16,2022-04-20 09:30:19.001724
ARCELORMITTAL,30.600,0.62,0.19,7.84,30.645,30.285,21383,28697,09:16,2022-04-20 09:30:19.001724
BANCO SABADELL,0.755,1.94,0.01,32.60,0.757,0.744,1993979,4248,09:16,2022-04-20 09:30:19.001724
BANKINTER,5.336,0.98,0.05,19.69,5.354,5.310,91240,4796,09:16,2022-04-20 09:30:19.001724
BBVA,5.146,1.26,0.06,2.51,5.159,5.104,745312,34313,09:16,2022-04-20 09:30:19.001724
CAIXABANK,3.082,1.55,0.05,33.90,3.095,3.051,753020,24843,09:16,2022-04-20 09:30:19.001724
CELLNEX TELECOM,45.710,0.95,0.43,-10.69,45.880,45.230,34134,31052,09:16,2022-04-20 09:30:19.001724
CIE AUTOMOTIVE,20.320,0.69,0.14,-24.74,20.320,20.200,4409,2490,09:16,2022-04-20 09:30:19.001724
COLONIAL,8.170,-0.24,-0.02,-0.97,8.220,8.150,23490,4409,09:15,2022-04-20 09:30:19.001724
ENAGAS,21.080,0.62,0.13,3.33,21.170,21.030,31577,5523,09:16,2022-04-20 09:30:19.001724
ENDESA,19.490,0.26,0.05,-3.51,19.545,19.460,23483,20635,09:15,2022-04-20 09:30:19.001724
FERROVIAL,25.260,-0.32,-0.08,-8.35,25.440,25.200,38215,18531,09:15,2022-04-20 09:30:19.001724
FLUIDRA,25.080,0.32,0.08,-28.75,25.140,24.840,28351,4906,09:16,2022-04-20 09:30:19.001724
GRIFOLS,16.135,0.59,0.09,-4.39,16.210,16.015,66517,6876,09:16,2022-04-20 09:30:19.001724
IAG,1.738,-0.09,-0.00,2.02,1.751,1.728,946229,8643,09:16,2022-04-20 09:30:19.001724
