ACCIONA,191.600,0.10,0.20,13.98,192.700,189.300,7662,10511,09:14,2022-04-22 09:30:08.339643
ACERINOX,10.100,-1.32,-0.13,-11.29,10.165,10.050,92282,2733,09:13,2022-04-22 09:30:08.339643
ACS,24.780,-0.76,-0.19,7.22,24.820,24.620,38732,7302,09:13,2022-04-22 09:30:08.339643
AENA,151.600,0.43,0.65,9.22,152.250,148.450,8636,22740,09:13,2022-04-22 09:30:08.339643
ALMIRALL,11.920,-1.41,-0.17,5.49,12.100,11.920,41818,2143,09:14,2022-04-22 09:30:08.339643
AMADEUS IT GROUP,60.340,0.23,0.14,1.17,60.420,59.100,33142,27183,09:14,2022-04-22 09:30:08.339643
ARCELORMITTAL,30.385,-1.35,-0.41,7.08,30.495,29.960,78478,28495,09:13,2022-04-22 09:30:08.339643
BANCO SABADELL,0.807,0.70,0.01,41.76,0.812,0.790,5549017,4542,09:14,2022-04-22 09:30:08.339643
BANKINTER,5.690,1.57,0.09,27.63,5.766,5.638,427306,5115,09:14,2022-04-22 09:30:08.339643
BBVA,5.110,-0.82,-0.04,1.79,5.146,5.096,1066818,34073,09:14,2022-04-22 09:30:08.339643
CAIXABANK,3.147,0.51,0.02,36.73,3.165,3.089,887397,25367,09:14,2022-04-22 09:30:08.339643
CELLNEX TELECOM,45.480,-0.22,-0.10,-11.14,45.700,44.860,67164,30896,09:14,2022-04-22 09:30:08.339643
CIE AUTOMOTIVE,20.740,-1.14,-0.24,-23.18,20.820,20.660,10818,2542,09:14,2022-04-22 09:30:08.339643
COLONIAL,8.230,-0.72,-0.06,-0.24,8.240,8.170,26330,4441,09:08,2022-04-22 09:30:08.339643
ENAGAS,20.400,-0.54,-0.11,0.00,20.480,20.220,111228,5345,09:13,2022-04-22 09:30:08.339643
ENDESA,19.795,-0.33,-0.07,-2.00,19.815,19.525,16430,20958,09:13,2022-04-22 09:30:08.339643
FERROVIAL,25.030,-2.07,-0.53,-9.18,25.110,24.670,64447,18362,09:14,2022-04-22 09:30:08.339643
FLUIDRA,26.220,-1.58,-0.42,-25.51,26.300,26.020,29378,5129,09:14,2022-04-22 09:30:08.339643
GRIFOLS,16.635,-0.15,-0.02,-1.42,16.880,16.205,132633,7089,09:13,2022-04-22 09:30:08.339643
IAG,1.837,-0.27,-0.00,7.83,1.854,1.802,2328642,9135,09:13,2022-04-22 09:30:08.339643
IBERDROLA,10.440,-0.76,-0.08,1.98,10.480,10.375,474217,67208,09:14,2022-04-22 09:30:08.339643
INDITEX,20.730,-1.71,-0.36,-27.34,20.900,20.660,345861,64608,09:14,2022-04-22 09:30:08.339643
INDRA,9.155,-2.81,-0.27,-3.83,9.225,9.085,146335,1617,09:13,2022-04-22 09:30:08.339643
MAPFRE,1.925,-0.77,-0.02,6.62,1.936,1.920,153934,5928,09:12,2022-04-22 09:30:08.339643
MELIÁ HOTELS,7.205,-0.48,-0.03,20.04,7.230,7.005,97513,1588,09:13,2022-04-22 09:30:08.339643
MERLIN PROP,10.720,-1.20,-0.13,12.02,10.740,10.680,37666,5036,09:12,2022-04-22 09:30:08.339643
NATURGY,28.790,-0.52,-0.15,2.66,28.890,28.500,11912,27915,09:11,2022-04-22 09:30:08.339643
PHARMA MAR,76.480,0.13,0.10,34.13,76.580,76.160,3444,1404,09:12,2022-04-22 09:30:08.339643
RED ELÉCTRICA,18.645,0.95,0.18,-0.58,18.645,18.500,81902,10088,09:13,2022-04-22 09:30:08.339643
REPSOL,13.460,-1.57,-0.22,32.55,13.535,12.730,695656,21104,09:14,2022-04-22 09:30:08.339643
ROVI,64.350,-1.00,-0.65,-12.80,64.500,64.000,3535,3608,09:13,2022-04-22 09:30:08.339643
SANTANDER,3.201,-0.90,-0.03,8.86,3.220,3.180,2391388,55507,09:14,2022-04-22 09:30:08.339643
SIEMENS GAMESA,15.610,-0.57,-0.09,-25.91,15.750,15.460,106169,10633,09:13,2022-04-22 09:30:08.339643
