ACCIONA,190.900,0.10,0.20,13.56,192.000,190.100,2613,10472,09:13,2022-04-26 09:30:06.643448
ACERINOX,9.562,0.89,0.08,-16.01,9.680,9.560,163288,2587,09:14,2022-04-26 09:30:06.643448
ACS,24.740,1.56,0.38,7.05,24.790,24.530,29106,7290,09:14,2022-04-26 09:30:06.643448
AENA,149.350,1.53,2.25,7.60,149.650,148.850,9020,22402,09:14,2022-04-26 09:30:06.643448
ALMIRALL,12.140,0.50,0.06,7.43,12.200,12.100,12780,2182,09:14,2022-04-26 09:30:06.643448
AMADEUS IT GROUP,60.640,1.64,0.98,1.68,60.960,60.180,53236,27318,09:14,2022-04-26 09:30:06.643448
ARCELORMITTAL,27.100,0.37,0.10,-4.49,27.695,27.100,127423,25415,09:14,2022-04-26 09:30:06.643448
BANCO SABADELL,0.773,1.77,0.01,35.69,0.780,0.770,2503791,4347,09:14,2022-04-26 09:30:06.643448
BANKINTER,5.616,0.21,0.01,25.97,5.692,5.612,61887,5048,09:14,2022-04-26 09:30:06.643448
BBVA,4.889,1.63,0.08,-2.61,4.926,4.878,942907,32599,09:14,2022-04-26 09:30:06.643448
CAIXABANK,3.050,0.89,0.03,32.51,3.067,3.043,465810,24585,09:14,2022-04-26 09:30:06.643448
CELLNEX TELECOM,45.720,0.53,0.24,-10.67,45.950,45.600,37900,31059,09:13,2022-04-26 09:30:06.643448
CIE AUTOMOTIVE,20.500,0.99,0.20,-24.07,20.580,20.440,10110,2512,09:10,2022-04-26 09:30:06.643448
COLONIAL,8.145,0.43,0.04,-1.27,8.145,8.085,25167,4395,09:13,2022-04-26 09:30:06.643448
ENAGAS,20.680,0.78,0.16,1.37,20.800,20.600,32870,5418,09:14,2022-04-26 09:30:06.643448
ENDESA,20.170,0.75,0.15,-0.15,20.240,20.090,23999,21355,09:14,2022-04-26 09:30:06.643448
FERROVIAL,24.620,1.28,0.31,-10.67,24.730,24.380,40068,18061,09:14,2022-04-26 09:30:06.643448
FLUIDRA,25.680,1.90,0.48,-27.05,25.700,25.480,18944,5024,09:13,2022-04-26 09:30:06.643448
GRIFOLS,17.255,1.50,0.25,2.25,17.260,16.965,157986,7353,09:14,2022-04-26 09:30:06.643448
IAG,1.781,1.51,0.03,4.55,1.798,1.773,1430043,8857,09:14,2022-04-26 09:30:06.643448
IBERDROLA,10.750,1.56,0.16,5.01,10.760,10.690,960450,69204,09:14,2022-04-26 09:30:06.643448
INDITEX,20.390,0.69,0.14,-28.53,20.480,20.280,160009,63549,09:14,2022-04-26 09:30:06.643448
INDRA,9.280,0.87,0.08,-2.52,9.305,9.260,64821,1639,09:14,2022-04-26 09:30:06.643448
MAPFRE,1.899,1.44,0.03,5.18,1.910,1.896,215368,5848,09:14,2022-04-26 09:30:06.643448
MELIÁ HOTELS,7.330,1.38,0.10,22.13,7.375,7.285,86655,1616,09:14,2022-04-26 09:30:06.643448
