BANKINTER,5.628,1.04,0.06,26.24,5.660,5.424,1634422,5059,16:16,2022-04-25 16:30:19.341708
BBVA,4.860,-2.91,-0.15,-3.18,4.943,4.858,14066060,32409,16:15,2022-04-25 16:30:19.341708
CAIXABANK,3.037,-1.72,-0.05,31.95,3.075,3.010,5213511,24480,16:15,2022-04-25 16:30:19.341708
CELLNEX TELECOM,45.640,1.11,0.50,-10.82,45.710,44.340,343901,31005,16:15,2022-04-25 16:30:19.341708
CIE AUTOMOTIVE,20.280,-0.78,-0.16,-24.89,20.380,20.000,105525,2485,16:12,2022-04-25 16:30:19.341708
COLONIAL,8.135,0.06,0.01,-1.39,8.185,8.015,291977,4390,16:16,2022-04-25 16:30:19.341708
ENAGAS,20.570,0.44,0.09,0.83,20.630,20.300,325457,5389,16:16,2022-04-25 16:30:19.341708
ENDESA,20.050,0.96,0.19,-0.74,20.250,19.505,439874,21228,16:16,2022-04-25 16:30:19.341708
FERROVIAL,24.310,-0.65,-0.16,-11.79,24.490,23.850,416732,17834,16:16,2022-04-25 16:30:19.341708
FLUIDRA,25.140,-3.46,-0.90,-28.58,25.920,24.960,212623,4918,16:13,2022-04-25 16:30:19.341708
GRIFOLS,16.805,3.54,0.58,-0.41,16.810,15.990,797402,7161,16:15,2022-04-25 16:30:19.341708
IAG,1.762,-1.07,-0.02,3.40,1.806,1.730,11935115,8760,16:16,2022-04-25 16:30:19.341708
IBERDROLA,10.605,1.63,0.17,3.59,10.655,10.340,6081579,68270,16:16,2022-04-25 16:30:19.341708
INDITEX,20.210,-0.54,-0.11,-29.16,20.380,19.895,2551073,62988,16:16,2022-04-25 16:30:19.341708
INDRA,9.240,-0.11,-0.01,-2.94,9.450,9.100,421907,1632,16:12,2022-04-25 16:30:19.341708
MAPFRE,1.879,-1.11,-0.02,4.07,1.893,1.873,1982956,5786,16:14,2022-04-25 16:30:19.341708
MELIÁ HOTELS,7.215,3.15,0.22,20.21,7.315,6.850,675520,1590,16:16,2022-04-25 16:30:19.341708
MERLIN PROP,10.880,0.55,0.06,13.69,10.880,10.680,814409,5111,16:16,2022-04-25 16:30:19.341708
NATURGY,29.090,1.25,0.36,3.73,29.250,28.170,88412,28206,16:16,2022-04-25 16:30:19.341708
PHARMA MAR,76.860,0.73,0.56,34.79,77.400,71.020,46110,1411,16:12,2022-04-25 16:30:19.341708
RED ELÉCTRICA,18.750,1.05,0.19,-0.02,18.785,18.415,338403,10145,16:16,2022-04-25 16:30:19.341708
REPSOL,12.735,-3.49,-0.46,25.41,13.090,12.725,4040404,19967,16:15,2022-04-25 16:30:19.341708
ROVI,61.900,-0.96,-0.60,-16.12,62.150,61.000,72612,3471,16:15,2022-04-25 16:30:19.341708
SANTANDER,3.091,-2.37,-0.07,5.12,3.152,3.090,30478598,53600,16:16,2022-04-25 16:30:19.341708
SIEMENS GAMESA,15.380,1.45,0.22,-27.01,15.640,14.800,1046912,10476,16:16,2022-04-25 16:30:19.341708
SOLARIA,20.890,-1.42,-0.30,22.02,21.660,20.710,254464,2610,16:14,2022-04-25 16:30:19.341708
TELEFÓNICA,4.833,-0.25,-0.01,25.47,4.866,4.767,4861326,27930,16:15,2022-04-25 16:30:19.341708
ACCIONA,191.000,1.17,2.20,13.62,193.400,186.900,71987,10478,17:16,2022-04-25 17:30:19.493110
ACERINOX,9.510,-4.17,-0.41,-16.47,9.870,9.500,2641940,2573,17:16,2022-04-25 17:30:19.493110
ACS,24.450,-0.45,-0.11,5.80,24.570,24.080,432560,7205,17:16,2022-04-25 17:30:19.493110
AENA,147.600,-0.84,-1.25,6.34,149.200,145.150,47485,22140,17:16,2022-04-25 17:30:19.493110
ALMIRALL,12.030,0.59,0.07,6.46,12.130,11.830,206762,2163,17:15,2022-04-25 17:30:19.493110
AMADEUS IT GROUP,59.280,0.27,0.16,-0.60,60.260,57.440,265826,26706,17:16,2022-04-25 17:30:19.493110
ARCELORMITTAL,27.140,-8.16,-2.41,-4.35,28.845,27.045,2106864,25452,17:16,2022-04-25 17:30:19.493110
BANCO SABADELL,0.761,-2.46,-0.02,33.72,0.779,0.761,19274580,4284,17:16,2022-04-25 17:30:19.493110
BANKINTER,5.586,0.29,0.02,25.29,5.660,5.424,1861419,5021,17:16,2022-04-25 17:30:19.493110
BBVA,4.832,-3.47,-0.17,-3.74,4.943,4.830,19732790,32223,17:16,2022-04-25 17:30:19.493110
CAIXABANK,3.024,-2.14,-0.07,31.38,3.075,3.010,6692045,24375,17:16,2022-04-25 17:30:19.493110
CELLNEX TELECOM,45.510,0.82,0.37,-11.08,45.900,44.340,409599,30916,17:16,2022-04-25 17:30:19.493110
CIE AUTOMOTIVE,20.260,-0.88,-0.18,-24.96,20.380,20.000,127552,2483,17:12,2022-04-25 17:30:19.493110
COLONIAL,8.095,-0.43,-0.03,-1.88,8.185,8.015,376760,4368,17:14,2022-04-25 17:30:19.493110
ENAGAS,20.550,0.34,0.07,0.74,20.630,20.300,401043,5384,17:16,2022-04-25 17:30:19.493110
ENDESA,20.100,1.21,0.24,-0.50,20.250,19.505,477212,21281,17:16,2022-04-25 17:30:19.493110
FERROVIAL,24.420,-0.20,-0.05,-11.39,24.550,23.850,531712,17915,17:16,2022-04-25 17:30:19.493110
FLUIDRA,25.300,-2.84,-0.74,-28.12,25.920,24.960,242523,4949,17:14,2022-04-25 17:30:19.493110
GRIFOLS,16.900,4.13,0.67,0.15,16.965,15.990,1025191,7202,17:16,2022-04-25 17:30:19.493110
IAG,1.757,-1.38,-0.02,3.08,1.806,1.730,13253861,8732,17:16,2022-04-25 17:30:19.493110
IBERDROLA,10.635,1.92,0.20,3.88,10.655,10.340,7193446,68463,17:16,2022-04-25 17:30:19.493110
INDITEX,20.190,-0.64,-0.13,-29.23,20.380,19.895,2964993,62925,17:16,2022-04-25 17:30:19.493110
INDRA,9.230,-0.22,-0.02,-3.05,9.450,9.100,462798,1631,17:16,2022-04-25 17:30:19.493110
MAPFRE,1.877,-1.21,-0.02,3.96,1.893,1.873,2156137,5780,17:16,2022-04-25 17:30:19.493110
MELIÁ HOTELS,7.200,2.93,0.20,19.96,7.315,6.850,761106,1587,17:16,2022-04-25 17:30:19.493110
MERLIN PROP,10.820,0.00,0.00,13.06,10.900,10.680,1053320,5083,17:14,2022-04-25 17:30:19.493110
NATURGY,29.140,1.43,0.41,3.91,29.250,28.170,108730,28255,17:16,2022-04-25 17:30:19.493110
PHARMA MAR,77.180,1.15,0.88,35.36,77.400,71.020,53056,1417,17:16,2022-04-25 17:30:19.493110
RED ELÉCTRICA,18.770,1.16,0.22,0.09,18.790,18.415,396677,10156,17:16,2022-04-25 17:30:19.493110
REPSOL,12.685,-3.87,-0.51,24.91,13.090,12.640,5058036,19889,17:16,2022-04-25 17:30:19.493110
ROVI,61.900,-0.96,-0.60,-16.12,62.150,61.000,89713,3471,17:13,2022-04-25 17:30:19.493110
SANTANDER,3.072,-2.98,-0.09,4.46,3.152,3.071,37586992,53262,17:16,2022-04-25 17:30:19.493110
SIEMENS GAMESA,15.400,1.58,0.24,-26.91,15.640,14.800,1181658,10490,17:15,2022-04-25 17:30:19.493110
SOLARIA,20.950,-1.13,-0.24,22.37,21.660,20.710,300716,2618,17:16,2022-04-25 17:30:19.493110
TELEFÓNICA,4.813,-0.66,-0.03,24.95,4.866,4.767,5607176,27815,17:16,2022-04-25 17:30:19.493110
ACCIONA,190.700,1.01,1.90,13.44,193.400,186.900,96746,10461,18:00,2022-04-25 18:30:23.545385
ACERINOX,9.478,-4.49,-0.45,-16.75,9.870,9.478,3013178,2564,18:00,2022-04-25 18:30:23.545385
ACS,24.360,-0.81,-0.20,5.41,24.570,24.080,622804,7178,18:00,2022-04-25 18:30:23.545385
AENA,147.100,-1.18,-1.75,5.98,149.200,145.150,107526,22065,18:00,2022-04-25 18:30:23.545385
ALMIRALL,12.080,1.00,0.12,6.90,12.130,11.830,267166,2172,18:00,2022-04-25 18:30:23.545385
AMADEUS IT GROUP,59.660,0.91,0.54,0.03,60.260,57.440,687828,26877,18:00,2022-04-25 18:30:23.545385
ARCELORMITTAL,27.000,-8.63,-2.55,-4.85,28.845,27.000,2224583,25321,18:00,2022-04-25 18:30:23.545385
BANCO SABADELL,0.759,-2.74,-0.02,33.33,0.779,0.759,24477284,4272,18:00,2022-04-25 18:30:23.545385
BANKINTER,5.604,0.61,0.03,25.70,5.660,5.424,2770372,5037,18:00,2022-04-25 18:30:23.545385
BBVA,4.811,-3.91,-0.20,-4.17,4.943,4.811,26407056,32076,18:00,2022-04-25 18:30:23.545385
CAIXABANK,3.023,-2.17,-0.07,31.34,3.075,3.010,9711618,24367,18:00,2022-04-25 18:30:23.545385
CELLNEX TELECOM,45.480,0.75,0.34,-11.14,45.900,44.340,750377,30896,18:00,2022-04-25 18:30:23.545385
CIE AUTOMOTIVE,20.300,-0.68,-0.14,-24.81,20.380,20.000,160591,2488,18:00,2022-04-25 18:30:23.545385
COLONIAL,8.110,-0.25,-0.02,-1.70,8.185,8.015,611266,4376,18:00,2022-04-25 18:30:23.545385
ENAGAS,20.520,0.20,0.04,0.59,20.630,20.300,857127,5376,18:00,2022-04-25 18:30:23.545385
ENDESA,20.020,0.81,0.16,-0.89,20.250,19.505,874098,21196,18:00,2022-04-25 18:30:23.545385
FERROVIAL,24.310,-0.65,-0.16,-11.79,24.550,23.850,822084,17834,18:00,2022-04-25 18:30:23.545385
FLUIDRA,25.200,-3.23,-0.84,-28.41,25.920,24.960,338024,4930,18:00,2022-04-25 18:30:23.545385
GRIFOLS,17.000,4.74,0.77,0.74,17.000,15.990,1528789,7244,18:00,2022-04-25 18:30:23.545385
IAG,1.755,-1.46,-0.03,2.99,1.806,1.730,14678095,8725,18:00,2022-04-25 18:30:23.545385
IBERDROLA,10.585,1.44,0.15,3.40,10.655,10.340,11575689,68142,18:00,2022-04-25 18:30:23.545385
INDITEX,20.250,-0.34,-0.07,-29.02,20.380,19.895,4190699,63112,18:00,2022-04-25 18:30:23.545385
INDRA,9.200,-0.54,-0.05,-3.36,9.450,9.100,541770,1625,18:00,2022-04-25 18:30:23.545385
MAPFRE,1.872,-1.47,-0.03,3.68,1.893,1.872,3116341,5765,18:00,2022-04-25 18:30:23.545385
MELIÁ HOTELS,7.230,3.36,0.24,20.46,7.315,6.850,942292,1593,18:00,2022-04-25 18:30:23.545385
MERLIN PROP,10.820,0.00,0.00,13.06,10.900,10.680,1362231,5083,18:00,2022-04-25 18:30:23.545385
NATURGY,29.040,1.08,0.31,3.55,29.250,28.170,334782,28158,18:00,2022-04-25 18:30:23.545385
PHARMA MAR,77.460,1.52,1.16,35.85,77.460,71.020,61034,1422,18:00,2022-04-25 18:30:23.545385
RED ELÉCTRICA,18.705,0.81,0.15,-0.26,18.790,18.415,940340,10121,18:00,2022-04-25 18:30:23.545385
REPSOL,12.605,-4.47,-0.59,24.13,13.090,12.605,7924346,19763,18:00,2022-04-25 18:30:23.545385
ROVI,61.850,-1.04,-0.65,-16.19,62.150,61.000,100177,3468,18:00,2022-04-25 18:30:23.545385
SANTANDER,3.054,-3.54,-0.11,3.86,3.152,3.054,53606056,52958,18:00,2022-04-25 18:30:23.545385
SIEMENS GAMESA,15.570,2.70,0.41,-26.10,15.640,14.800,1902236,10605,18:00,2022-04-25 18:30:23.545385
SOLARIA,20.990,-0.94,-0.20,22.61,21.660,20.710,404556,2623,18:00,2022-04-25 18:30:23.545385
TELEFÓNICA,4.798,-0.97,-0.05,24.56,4.866,4.767,11823475,27728,18:00,2022-04-25 18:30:23.545385
