ACCIONA,194.200,0.52,1.00,15.53,194.600,192.300,7186,10653,09:14,2022-04-19 09:30:01.859223
ACERINOX,10.070,0.94,0.09,-11.55,10.180,9.990,203210,2724,09:14,2022-04-19 09:30:01.859223
ACS,24.850,-0.24,-0.06,7.53,24.910,24.800,45393,7322,09:13,2022-04-19 09:30:01.859223
AENA,150.800,-0.56,-0.85,8.65,152.600,150.650,7991,22620,09:14,2022-04-19 09:30:01.859223
ALMIRALL,12.280,-0.97,-0.12,8.67,12.320,12.250,11087,2208,09:11,2022-04-19 09:30:01.859223
AMADEUS IT GROUP,55.600,-2.25,-1.28,-6.77,56.620,55.600,69395,25048,09:14,2022-04-19 09:30:01.859223
ARCELORMITTAL,31.090,1.90,0.58,9.57,31.190,30.620,95753,29157,09:14,2022-04-19 09:30:01.859223
BANCO SABADELL,0.733,0.33,0.00,28.80,0.738,0.733,1246659,4127,09:14,2022-04-19 09:30:01.859223
BANKINTER,5.214,-1.21,-0.06,16.95,5.256,5.202,93458,4687,09:13,2022-04-19 09:30:01.859223
BBVA,4.997,-0.73,-0.04,-0.46,5.027,4.997,1001977,32813,09:13,2022-04-19 09:30:01.859223
CAIXABANK,3.030,-0.33,-0.01,31.64,3.053,3.025,854241,24424,09:13,2022-04-19 09:30:01.859223
CELLNEX TELECOM,44.310,-1.42,-0.64,-13.42,45.000,44.300,57530,30101,09:14,2022-04-19 09:30:01.859223
CIE AUTOMOTIVE,19.840,-0.40,-0.08,-26.52,20.000,19.780,18029,2431,09:13,2022-04-19 09:30:01.859223
COLONIAL,8.295,-0.42,-0.03,0.55,8.325,8.280,19378,4476,09:12,2022-04-19 09:30:01.859223
ENAGAS,21.120,-0.19,-0.04,3.53,21.180,20.980,101119,5533,09:12,2022-04-19 09:30:01.859223
ENDESA,19.430,-0.94,-0.18,-3.81,19.580,19.410,41248,20572,09:13,2022-04-19 09:30:01.859223
FERROVIAL,25.300,-1.71,-0.44,-8.20,25.550,25.290,63033,18560,09:14,2022-04-19 09:30:01.859223
FLUIDRA,24.880,-1.43,-0.36,-29.32,25.140,24.860,18924,4867,09:11,2022-04-19 09:30:01.859223
GRIFOLS,15.570,-0.03,-0.01,-7.73,15.730,15.545,100082,6635,09:14,2022-04-19 09:30:01.859223
IAG,1.735,-1.25,-0.02,1.85,1.770,1.728,2991864,8628,09:13,2022-04-19 09:30:01.859223
